Year,Value
-Nkzk0Ghl3u_iuExvYww,"{'2011': 349.8, '2012': 353.5, '2013': 336.6, '2014': 329.1, '2015': 347.0, '2016': 371.8, '2017': 370.4, '2018': 356.2, '2019': 378.7, '2020': 419.3, '2020 count': 44451.0, 'Location': 'North Carolina\u202f*'}"
-Nkzk0IbYfD_sEsawVZv,"{'2011': 373.2, '2012': 380.0, '2013': 359.7, '2014': 385.8, '2015': 378.3, '2016': 390.4, '2017': 356.5, '2018': 338.9, '2019': 326.2, '2020': 400.1, '2020 count': 42850.0, 'Location': 'Georgia\u202f*'}"
-Nkzk0KVuFK3CfUdjnZa,"{'2011': 494.1, '2012': 477.3, '2013': 467.8, '2014': 448.0, '2015': 457.2, '2016': 481.7, '2017': 503.3, '2018': 469.4, '2019': 454.4, '2020': 399.9, '2020 count': 24215.0, 'Location': 'Maryland\u202f*'}"
-Nkzk0S7jh9T5gwyZPFi,"{'2011': 355.0, '2012': 355.5, '2013': 326.6, '2014': 315.0, '2015': 315.1, '2016': 315.9, '2017': 313.0, '2018': 305.4, '2019': 306.0, '2020': 389.5, '2020 count': 49793.0, 'Location': 'Pennsylvania\u202f*'}"
-Nkzk0U-R1QMizwHaUEb,"{'2011': 515.3, '2012': 487.0, '2013': 460.0, '2014': 458.9, '2015': 461.9, '2016': 429.4, '2017': 408.1, '2018': 385.9, '2019': 378.2, '2020': 383.6, '2020 count': 83368.0, 'Location': 'Florida\u202f*'}"
-Nkzk0VxaYX9uPyHc7iU,"{'2011': 398.1, '2012': 406.3, '2013': 389.8, '2014': 384.7, '2015': 379.7, '2016': 374.6, '2017': 361.1, '2018': 350.8, '2019': 361.0, '2020': 363.8, '2020 count': 70339.0, 'Location': 'New York\u202f*'}"
-Nkzk0XqkDo3uRdFDgz-,"{'2011': 331.8, '2012': 344.8, '2013': 349.9, '2014': 365.3, '2015': 387.5, '2016': 399.7, '2017': 395.0, '2018': 373.5, '2019': 371.5, '2020': 357.7, '2020 count': 24161.0, 'Location': 'Indiana\u202f*'}"
-Nkzk0ZfaWFiYc6siwZW,"{'2011': 315.9, '2012': 320.1, '2013': 289.7, '2014': 316.4, '2015': 337.9, '2016': 362.7, '2017': 361.2, '2018': 299.9, '2019': 318.9, '2020': 355.9, '2020 count': 6352.0, 'Location': 'West Virginia\u202f*'}"
-Nkzk0aUQ-4OEraYpCpc,"{'2011': 253.2, '2012': 258.8, '2013': 252.2, '2014': 276.2, '2015': 274.9, '2016': 296.8, '2017': 311.8, '2018': 289.9, '2019': 304.6, '2020': 334.1, '2020 count': 6473.0, 'Location': 'Nebraska\u202f*'}"
-Nkzk0cRsXl1-JBdCCLS,"{'2011': 247.0, '2012': 245.7, '2013': 256.3, '2014': 270.4, '2015': 239.4, '2016': 252.1, '2017': 282.5, '2018': 284.1, '2019': 301.4, '2020': 329.0, '2020 count': 2518.0, 'Location': 'North Dakota\u202f*'}"
